longitude,latitude,depth,vs
-120.2,40.8,28,3.9173
-120.2,40.8,29,4.0377
-120.2,40.8,30,4.1516
-120.2,40.8,31,4.2503
-120.2,40.8,32,4.3282
-120.2,40.8,33,4.3838
-120.2,40.8,34,4.4192
-120.2,40.8,35,4.4377
-120.2,40.8,36,4.4434
-120.2,40.8,37,4.4398
-120.2,40.8,38,4.4296
-120.2,40.8,39,4.4137
-120.2,40.8,40,4.3942
-120.2,41.0,-2,1.696
-120.2,41.0,-1,1.8859
-120.2,41.0,0,2.3031
-120.2,41.0,1,2.7712
-120.2,41.0,2,3.1578
-120.2,41.0,3,3.4036
-120.2,41.0,4,3.5312
-120.2,41.0,5,3.6446
-120.2,41.0,6,3.785
-120.2,41.0,7,3.8609
-120.2,41.0,8,3.8371
-120.2,41.0,9,3.7849
-120.2,41.0,10,3.7506
-120.2,41.0,11,3.7213
-120.2,41.0,12,3.6761
-120.2,41.0,13,3.6265
-120.2,41.0,14,3.6031
-120.2,41.0,15,3.6048
-120.2,41.0,16,3.6209
-120.2,41.0,17,3.6416
-120.2,41.0,18,3.6461
-120.2,41.0,19,3.6142
-120.2,41.0,20,3.5677
-120.2,41.0,21,3.5231
-120.2,41.0,22,3.4866
-120.2,41.0,23,3.4616
-120.2,41.0,24,3.454
-120.2,41.0,25,3.4651
-120.2,41.0,26,3.4954
-120.2,41.0,27,3.5448
-120.2,41.0,28,3.614
-120.2,41.0,29,3.7059
-120.2,41.0,30,3.8194
-120.2,41.0,31,3.9481
-120.2,41.0,32,4.0824
-120.2,41.0,33,4.2133
-120.2,41.0,34,4.3295
-120.2,41.0,35,4.4231
-120.2,41.0,36,4.4896
-120.2,41.0,37,4.5287
-120.2,41.0,38,4.5422
-120.2,41.0,39,4.5331
-120.2,41.0,40,4.5076
-120.2,41.2,-2,1.4257
-120.2,41.2,-1,1.7288
-120.2,41.2,0,2.2575
-120.2,41.2,1,2.7892
-120.2,41.2,2,3.2065
-120.2,41.2,3,3.4807
-120.2,41.2,4,3.6524
-120.2,41.2,5,3.8024
-120.2,41.2,6,3.9403
-120.2,41.2,7,3.9862
-120.2,41.2,8,3.9354
-120.2,41.2,9,3.8746
-120.2,41.2,10,3.8357
-120.2,41.2,11,3.7994
-120.2,41.2,12,3.763
-120.2,41.2,13,3.72
-120.2,41.2,14,3.6802
-120.2,41.2,15,3.6722
-120.2,41.2,16,3.6856
-120.2,41.2,17,3.6868
-120.2,41.2,18,3.6566
-120.2,41.2,19,3.6064
-120.2,41.2,20,3.5593
-120.2,41.2,21,3.5149
-120.2,41.2,22,3.4726
-120.2,41.2,23,3.4377
-120.2,41.2,24,3.4183
-120.2,41.2,25,3.4177
-120.2,41.2,26,3.4374
-120.2,41.2,27,3.4768
-120.2,41.2,28,3.5391
-120.2,41.2,29,3.6257
-120.2,41.2,30,3.7339
-120.2,41.2,31,3.8591
-120.2,41.2,32,3.9959
-120.2,41.2,33,4.1343
-120.2,41.2,34,4.2642
-120.2,41.2,35,4.3756
-120.2,41.2,36,4.4632
-120.2,41.2,37,4.5225
-120.2,41.2,38,4.5548
-120.2,41.2,39,4.5609
-120.2,41.2,40,4.5483
-120.2,41.4,-2,1.3806
-120.2,41.4,-1,1.7284
-120.2,41.4,0,2.3075
-120.2,41.4,1,2.8296
-120.2,41.4,2,3.2118
-120.2,41.4,3,3.4845
-120.2,41.4,4,3.6875
-120.2,41.4,5,3.8603
-120.2,41.4,6,3.997
-120.2,41.4,7,4.0487
-120.2,41.4,8,4.0173
-120.2,41.4,9,3.9775
-120.2,41.4,10,3.9584
-120.2,41.4,11,3.9274
-120.2,41.4,12,3.8929
-120.2,41.4,13,3.8521
-120.2,41.4,14,3.7856
-120.2,41.4,15,3.7247
-120.2,41.4,16,3.6861
-120.2,41.4,17,3.6393
-120.2,41.4,18,3.56
-120.2,41.4,19,3.4644
-120.2,41.4,20,3.3961
-120.2,41.4,21,3.3527
-120.2,41.4,22,3.329
-120.2,41.4,23,3.322
-120.2,41.4,24,3.3373
-120.2,41.4,25,3.3749
-120.2,41.4,26,3.4334
-120.2,41.4,27,3.5084
-120.2,41.4,28,3.5989
-120.2,41.4,29,3.7036
-120.2,41.4,30,3.8173
-120.2,41.4,31,3.9369
-120.2,41.4,32,4.0573
-120.2,41.4,33,4.1758
-120.2,41.4,34,4.2842
-120.2,41.4,35,4.3756
-120.2,41.4,36,4.446
-120.2,41.4,37,4.4926
-120.2,41.4,38,4.5152
-120.2,41.4,39,4.5165
-120.2,41.4,40,4.501
-120.2,41.6,-1,2.9039
-120.2,41.6,0,2.9224
-120.2,41.6,1,2.9966
-120.2,41.6,2,3.076
-120.2,41.6,3,3.1587
-120.2,41.6,4,3.2138
-120.2,41.6,5,3.2686
-120.2,41.6,6,3.2743
-120.2,41.6,7,3.3148
-120.2,41.6,8,3.3858
-120.2,41.6,9,3.4047
-120.2,41.6,10,3.4009
-120.2,41.6,11,3.4162
-120.2,41.6,12,3.4614
-120.2,41.6,13,3.4884
-120.2,41.6,14,3.4644
-120.2,41.6,15,3.4598
-120.2,41.6,16,3.4426
-120.2,41.6,17,3.423
-120.2,41.6,18,3.4468
-120.2,41.6,19,3.485
-120.2,41.6,20,3.4935
-120.2,41.6,21,3.5017
-120.2,41.6,22,3.5231
-120.2,41.6,23,3.5449
-120.2,41.6,24,3.5636
-120.2,41.6,25,3.5811
-120.2,41.6,26,3.6017
-120.2,41.6,27,3.628
-120.2,41.6,28,3.6623
-120.2,41.6,29,3.709
-120.2,41.6,30,3.7693
-120.2,41.6,31,3.8397
-120.2,41.6,32,3.9132
-120.2,41.6,33,3.9826
-120.2,41.6,34,4.0415
-120.2,41.6,35,4.0866
-120.2,41.6,36,4.1172
-120.2,41.6,37,4.1356
-120.2,41.6,38,4.146
-120.2,41.6,39,4.1508
-120.2,41.6,40,4.1533
-120.2,41.8,-1,2.7574
-120.2,41.8,0,2.7871
-120.2,41.8,1,2.8566
-120.2,41.8,2,2.9716
-120.2,41.8,3,3.0973
-120.2,41.8,4,3.1681
-120.2,41.8,5,3.1796
-120.2,41.8,6,3.2034
-120.2,41.8,7,3.3095
-120.2,41.8,8,3.3919
-120.2,41.8,9,3.4111
