longitude,latitude,depth,vs
-120.2,41.0,41,4.4725
-120.2,41.0,42,4.4338
-120.2,41.0,43,4.3981
-120.2,41.0,44,4.3721
-120.2,41.0,45,4.3533
-120.2,41.0,46,4.3366
-120.2,41.0,47,4.3288
-120.2,41.0,48,4.3266
-120.2,41.0,49,4.3258
-120.2,41.0,50,4.3261
-120.2,41.0,51,4.324
-120.2,41.0,52,4.3174
-120.2,41.0,53,4.3042
-120.2,41.0,54,4.2836
-120.2,41.0,55,4.2567
-120.2,41.0,56,4.2264
-120.2,41.0,57,4.1919
-120.2,41.0,58,4.1547
-120.2,41.0,59,4.1159
-120.2,41.0,60,4.0757
-120.2,41.0,61,4.0335
-120.2,41.0,62,4.0049
-120.2,41.0,63,4.0
-120.2,41.0,64,4.0
-120.2,41.0,65,3.9993
-120.2,41.0,66,4.0018
-120.2,41.0,67,4.0077
-120.2,41.0,68,4.0149
-120.2,41.0,69,4.0221
-120.2,41.0,70,4.0312
-120.2,41.0,71,4.0453
-120.2,41.0,72,4.0656
-120.2,41.0,73,4.0922
-120.2,41.0,74,4.1212
-120.2,41.0,75,4.1454
-120.2,41.0,76,4.1619
-120.2,41.0,77,4.1725
-120.2,41.0,78,4.1763
-120.2,41.0,79,4.1723
-120.2,41.0,80,4.1592
-120.2,41.2,41,4.5212
-120.2,41.2,42,4.4892
-120.2,41.2,43,4.4605
-120.2,41.2,44,4.4409
-120.2,41.2,45,4.4243
-120.2,41.2,46,4.4171
-120.2,41.2,47,4.4209
-120.2,41.2,48,4.4295
-120.2,41.2,49,4.4421
-120.2,41.2,50,4.4544
-120.2,41.2,51,4.4649
-120.2,41.2,52,4.4694
-120.2,41.2,53,4.4689
-120.2,41.2,54,4.4625
-120.2,41.2,55,4.4527
-120.2,41.2,56,4.4381
-120.2,41.2,57,4.4179
-120.2,41.2,58,4.3906
-120.2,41.2,59,4.3533
-120.2,41.2,60,4.3027
-120.2,41.2,61,4.2389
-120.2,41.2,62,4.1828
-120.2,41.2,63,4.1475
-120.2,41.2,64,4.1183
-120.2,41.2,65,4.089
-120.2,41.2,66,4.0633
-120.2,41.2,67,4.0449
-120.2,41.2,68,4.0341
-120.2,41.2,69,4.0285
-120.2,41.2,70,4.0262
-120.2,41.2,71,4.0281
-120.2,41.2,72,4.0338
-120.2,41.2,73,4.0409
-120.2,41.2,74,4.0467
-120.2,41.2,75,4.0455
-120.2,41.2,76,4.0334
-120.2,41.2,77,4.0136
-120.2,41.2,78,3.9898
-120.2,41.2,79,3.9621
-120.2,41.2,80,3.9304
-120.2,41.4,41,4.4735
-120.2,41.4,42,4.4414
-120.2,41.4,43,4.4132
-120.2,41.4,44,4.3957
-120.2,41.4,45,4.3813
-120.2,41.4,46,4.3758
-120.2,41.4,47,4.3799
-120.2,41.4,48,4.3888
-120.2,41.4,49,4.3982
-120.2,41.4,50,4.4065
-120.2,41.4,51,4.4095
-120.2,41.4,52,4.4074
-120.2,41.4,53,4.4005
-120.2,41.4,54,4.3909
-120.2,41.4,55,4.3806
-120.2,41.4,56,4.3704
-120.2,41.4,57,4.3601
-120.2,41.4,58,4.3466
-120.2,41.4,59,4.3248
-120.2,41.4,60,4.2877
-120.2,41.4,61,4.2368
-120.2,41.4,62,4.1946
-120.2,41.4,63,4.1688
-120.2,41.4,64,4.1439
-120.2,41.4,65,4.1161
-120.2,41.4,66,4.0913
-120.2,41.4,67,4.0727
-120.2,41.4,68,4.0613
-120.2,41.4,69,4.0574
-120.2,41.4,70,4.062
-120.2,41.4,71,4.073
-120.2,41.4,72,4.0869
-120.2,41.4,73,4.0981
-120.2,41.4,74,4.1024
-120.2,41.4,75,4.0961
-120.2,41.4,76,4.0766
-120.2,41.4,77,4.0469
-120.2,41.4,78,4.0112
-120.2,41.4,79,3.9698
-120.2,41.4,80,3.9239
-120.2,41.6,41,4.1557
-120.2,41.6,42,4.1594
-120.2,41.6,43,4.1647
-120.2,41.6,44,4.1723
-120.2,41.6,45,4.1827
-120.2,41.6,46,4.1957
-120.2,41.6,47,4.209
-120.2,41.6,48,4.2247
-120.2,41.6,49,4.2428
-120.2,41.6,50,4.2601
-120.2,41.6,51,4.275
-120.2,41.6,52,4.2852
-120.2,41.6,53,4.2895
-120.2,41.6,54,4.2873
-120.2,41.6,55,4.2788
-120.2,41.6,56,4.2662
-120.2,41.6,57,4.2521
-120.2,41.6,58,4.2355
-120.2,41.6,59,4.2161
-120.2,41.6,60,4.1946
-120.2,41.6,61,4.1702
-120.2,41.6,62,4.1421
-120.2,41.6,63,4.1116
-120.2,41.6,64,4.0784
-120.2,41.6,65,4.0384
-120.2,41.6,66,3.9958
-120.2,41.6,67,3.9545
-120.2,41.6,68,3.9182
-120.2,41.6,69,3.8916
-120.2,41.6,70,3.8789
-120.2,41.6,71,3.8812
-120.2,41.6,72,3.8969
-120.2,41.6,73,3.9227
-120.2,41.6,74,3.9529
-120.2,41.6,75,3.979
-120.2,41.6,76,3.9957
-120.2,41.6,77,4.0008
-120.2,41.6,78,3.9947
-120.2,41.6,79,3.9794
-120.2,41.6,80,3.9572
-120.2,41.8,41,4.0929
-120.2,41.8,42,4.1074
-120.2,41.8,43,4.1273
-120.2,41.8,44,4.1489
-120.2,41.8,45,4.1692
-120.2,41.8,46,4.1833
-120.2,41.8,47,4.1918
-120.2,41.8,48,4.1972
-120.2,41.8,49,4.2017
-120.2,41.8,50,4.2089
-120.2,41.8,51,4.2204
-120.2,41.8,52,4.2345
-120.2,41.8,53,4.2491
-120.2,41.8,54,4.2607
-120.2,41.8,55,4.268
-120.2,41.8,56,4.2697
-120.2,41.8,57,4.2626
-120.2,41.8,58,4.2463
-120.2,41.8,59,4.2218
-120.2,41.8,60,4.1913
-120.2,41.8,61,4.1586
-120.2,41.8,62,4.1272
-120.2,41.8,63,4.1035
-120.2,41.8,64,4.0877
-120.2,41.8,65,4.0793
